Timestamp,Client IP,Target,Action,Reason
2025-08-18 02:00:01,203.0.113.45,/index.php,BLOCK,SQLi pattern detected
2025-08-18 02:00:03,203.0.113.45,/index.php,BLOCK,SQLi pattern detected
2025-08-18 02:00:05,203.0.113.45,/index.php,BLOCK,SQLi pattern detected
2025-08-18 02:00:07,203.0.113.45,/index.php,BLOCK,SQLi pattern detected
2025-08-18 02:00:09,203.0.113.45,/index.php,BLOCK,SQLi pattern detected
2025-08-18 02:00:11,203.0.113.45,/index.php,BLOCK,SQLi pattern detected
2025-08-18 02:00:13,203.0.113.45,/index.php,BLOCK,SQLi pattern detected
2025-08-18 02:00:15,203.0.113.45,/index.php,BLOCK,SQLi pattern detected
2025-08-18 02:00:17,203.0.113.45,/index.php,BLOCK,SQLi pattern detected
2025-08-18 02:00:19,203.0.113.45,/index.php,BLOCK,SQLi pattern detected
2025-08-18 02:00:21,203.0.113.45,/index.php,BLOCK,SQLi pattern detected
2025-08-18 02:00:23,203.0.113.45,/index.php,BLOCK,SQLi pattern detected
2025-08-18 02:00:25,203.0.113.45,/index.php,BLOCK,SQLi pattern detected
2025-08-18 02:00:27,203.0.113.45,/index.php,BLOCK,SQLi pattern detected
2025-08-18 02:00:29,203.0.113.45,/index.php,BLOCK,SQLi pattern detected
2025-08-18 02:00:31,203.0.113.45,/index.php,BLOCK,SQLi pattern detected
2025-08-18 02:00:33,203.0.113.45,/index.php,BLOCK,SQLi pattern detected
2025-08-18 02:00:35,203.0.113.45,/index.php,BLOCK,SQLi pattern detected
2025-08-18 02:00:37,203.0.113.45,/index.php,BLOCK,SQLi pattern detected
2025-08-18 02:00:39,203.0.113.45,/index.php,BLOCK,SQLi pattern detected
2025-08-18 02:00:41,203.0.113.45,/index.php,BLOCK,SQLi pattern detected
2025-08-18 02:00:43,203.0.113.45,/index.php,BLOCK,SQLi pattern detected
2025-08-18 02:00:45,203.0.113.45,/index.php,BLOCK,SQLi pattern detected
2025-08-18 02:00:47,203.0.113.45,/index.php,BLOCK,SQLi pattern detected
2025-08-18 02:00:49,203.0.113.45,/index.php,BLOCK,SQLi pattern detected
2025-08-18 02:00:51,203.0.113.45,/index.php,BLOCK,SQLi pattern detected
2025-08-18 02:00:53,203.0.113.45,/index.php,BLOCK,SQLi pattern detected
2025-08-18 02:00:55,203.0.113.45,/index.php,BLOCK,SQLi pattern detected
2025-08-18 02:00:57,203.0.113.45,/index.php,BLOCK,SQLi pattern detected
2025-08-18 02:00:59,203.0.113.45,/index.php,BLOCK,SQLi pattern detected
2025-08-18 02:01:01,203.0.113.45,/index.php,BLOCK,SQLi pattern detected
2025-08-18 02:01:03,203.0.113.45,/index.php,BLOCK,SQLi pattern detected
2025-08-18 02:01:05,203.0.113.45,/index.php,BLOCK,SQLi pattern detected
2025-08-18 02:01:07,203.0.113.45,/index.php,BLOCK,SQLi pattern detected
